Material Supplier,Material Name,General Material Type,Specific Material Type,Post Processed,Ultimate Tensile Strength Min (MPa),Ultimate Tensile Strength Max (MPa),Tensile Modulus Min (MPa),Tensile Modulus Max (MPa),Elongation at Break Min (%),Elongation at Break Max (%),Flexural Strength Min (MPa),Flexural Strength Max (MPa),Flexural Modulus Min (MPa),Flexural Modulus Max (MPa),Hardness Shore Scale,Hardness Min,Hardness Max,HDT Min (C),HDT Max (C),Glass Transition Temp Min (C),Glass Transition Temp Max (C),Part Density (g/cm3),Flammability,USP Class VI Certified
3D Systems,Accura 25,Polymer,PP,No,38,38,1590,1660,13,20,55,58,1380,1660,Shore D,80,80,58,63,60,60,1.19,,No
3D Systems,Accura 48HTR,Polymer,,No,64,67,2800,3980,4,7,105,118,2760,3400,Shore D,86,86,65,65,62,62,1.23,,No
3D Systems,Accura 48HTR,Polymer,,Yes,64,67,2800,3980,4,7,105,118,2760,3400,Shore D,86,86,130,130,132,132,1.23,,No
3D Systems,Accura 55,Polymer,ABS,No,63,68,3200,3380,5,8,88,110,2690,3240,Shore D,85,85,55,58,56,56,1.2,,No
3D Systems,Accura 60,Polymer,PC,No,58,68,2690,3100,5,13,87,101,2700,3000,Shore D,86,86,53,55,58,58,1.21,,No
3D Systems,Accura ABS Black (SL 7820),Polymer,ABS,No,36,51,1900,2500,8,18,59,80,2000,2400,Shore D,86,86,50,51,62,62,1.16,,No
3D Systems,Accura ABS White (SL 7810),Polymer,ABS,No,36,51,1800,2400,10,20,59,72,1900,2400,Shore D,86,87,50,51,62,62,1.16,,No
3D Systems,Accura Amethyst,Polymer,,No,22,38,3514,3996,0.56,1.04,87,125,3652,3721,Shore D,87,87,77,77,103,103,1.23,,No
3D Systems,Accura Bluestone,Composite,,No,66,68,7600,11700,1.4,2.4,124,154,8300,9800,Shore D,92,92,65,66,71,83,1.78,,No
3D Systems,Accura Bluestone,Composite,,Yes,66,68,7600,11700,1.4,2.4,124,154,8300,9800,Shore D,92,92,267,267,71,83,1.78,,No
3D Systems,Accura CastPro,Polymer,,No,52,53,2490,2620,4.1,8.3,82,84,2310,2340,Shore D,85,85,51,51,70,70,1.17,,No
3D Systems,Accura CeraMAX,Composite,,No,78,87,9460,9680,1,1.5,137,145,8270,8370,Shore D,89,89,148,148,108,110,1.62,,No
3D Systems,Accura CeraMAX,Composite,,Yes,78,87,9460,9680,1,1.5,137,145,8270,8370,Shore D,89,89,220,220,112,114,1.62,,No
3D Systems,Accura ClearVue,Polymer,,No,46,53,2270,2640,3,15,72,84,1980,2310,Shore D,80,80,51,51,62,62,1.17,,No
3D Systems,Accura e-Stone,Polymer,,No,37,39,1500,1750,10,23,54,59,1350,1750,Shore D,80,80,58,63,60,60,1.19,,No
3D Systems,Accura PEAK,Polymer,,No,57,78,4220,4790,1.3,2.5,77,126,4180,4790,Shore D,86,86,78,78,104,104,1.36,,No
3D Systems,Accura PEAK,Polymer,,Yes,57,78,4220,4790,1.3,2.5,77,126,4180,4790,Shore D,86,86,153,153,110,110,1.36,,No
3D Systems,Accura Sapphire,Polymer,,No,20,24,910,1110,9,16,28,38,1080,1420,Shore D,72,72,38,38,58,58,1.18,,No
3D Systems,Accura SL 7840,Polymer,PP,No,,,,,,,,,,,,,,,,,,,,No
3D Systems,Accura Xtreme,Polymer,,No,38,44,1790,1980,14,22,52,71,1520,2070,,,,62,62,,,1.19,,No
3D Systems,Accura Xtreme White 200,Polymer,ABS/PP,No,45,50,2300,2630,7,20,75,79,2350,2550,Shore D,72,80,47,47,52,52,1.18,,No
3D Systems,CastForm PS,Polymer,,No,2.84,2.84,1604,1604,,,,,,,,,,,,89,89,,,No
3D Systems,DuraForm EX,Polymer,ABS/PP,No,37,48,1517,1517,47,47,42,46,1310,1310,Shore D,74,74,188,188,,,,HB,No
3D Systems,DuraForm Flex,Polymer,Rubber,No,1.8,2.3,7.4,9.2,110,151,,,5.9,7.8,Shore A,45,75,,,,,,,No
3D Systems,DuraForm FR 100,Polymer,,No,27,32,1880,1880,20,20,41,46,1462,1462,Shore D,73,73,194,194,,,1.03,V-0,No
3D Systems,DuraForm GF,Composite,PA-Glass,No,26,27,4068,4068,1.4,1.4,37,37,3106,3106,Shore D,77,77,179,179,,,1.49,HB,No
3D Systems,DuraForm HST,Composite,,No,31,51,2900,5725,2.7,4.5,64,89,2625,4550,Shore D,75,75,178.8,184,,,,HB,No
3D Systems,DuraForm PA,Polymer,PA,No,43,43,1586,1586,14,14,48,48,1387,1387,Shore D,73,73,180,180,,,,HB,No
3D Systems,DuraForm ProX,Polymer,,No,47,51,1740,1905,13,15,63,65,1595,1690,Shore D,73,73,,,,,0.97,,No
3D Systems,VisiJet C4 Spectrum,Polymer,,No,24.8,24.8,1600,1600,3.6,3.6,36.5,36.5,1125,1125,Shore D,79,79,57,57,,,,,No
3D Systems,VisiJet CF-BK,Polymer,Rubber,No,2.2,2.2,0.7,0.7,293,293,,,,,,,,,,,,,,No
3D Systems,VisiJet CR-CL,Polymer,PC,No,58,58,2442,2442,13,13,65,65,,,Shore D,83,83,,,,,,,No
3D Systems,VisiJet CR-WT,Polymer,ABS,No,56,56,2414,2414,8.1,8.1,66,66,,,Shore D,83,83,,,,,,,No
3D Systems,VisiJet Dentcast,Polymer,Acrylic,No,32,32,1724,1724,12.3,12.3,45,45,,,,,,,,,,,,No
3D Systems,VisiJet FTX Green,Polymer,,No,30,30,1700,1700,10,10,40,40,,,,,,,,,,,,No
3D Systems,VisiJet Hi-Cast,Wax,Wax,No,,,,,,,,,,,,,,,,,,,,No
3D Systems,VisiJet M3 Black,Polymer,,No,35.2,35.2,1594,1594,19.7,19.7,44.5,44.5,,,,,,57,57,,,,,No
3D Systems,VisiJet M3 Crystal,Polymer,,No,42.4,42.4,1463,1463,6.83,6.83,49,49,,,,,,56,56,,,,,Yes
3D Systems,VisiJet M3 Navy,Polymer,,No,20.5,20.5,735,735,8,8,28.1,28.1,,,,,,46,46,,,,,No
3D Systems,VisiJet M3 Procast,Polymer,,No,32,32,1724,1724,12.3,12.3,45,45,,,,,,,,,,,,No
3D Systems,VisiJet M3 Proplast,Polymer,,No,26.2,26.2,1108,1108,8.97,8.97,26.6,26.6,,,,,,46,46,,,,,No
3D Systems,VisiJet M3 Techplast,Polymer,,No,22.1,22.1,866,866,6.1,6.1,28.1,28.1,,,,,,46,46,,,,,No
3D Systems,VisiJet M3 X,Polymer,ABS,No,49,49,2168,2168,8.3,8.3,65,65,,,,,,88,88,,,,,No
3D Systems,VisiJet M5-Black,Polymer,PP,No,32.8,32.8,1555,1555,15.4,15.4,43.8,43.8,,,,,,54,54,,,,,No
3D Systems,VisiJet M5-MX,Polymer,,No,31,31,1267,1267,20,20,39,39,,,,,,39,39,,,,,No
3D Systems,VisiJet M5-X,Polymer,ABS/PP,No,39.4,39.4,1925,1925,7.8,7.8,51.4,51.4,,,,,,65,65,,,,,No
3D Systems,VisiJet Pearlstone,Polymer,Acrylic,No,40,40,1794,1794,7.7,7.7,,,,,,,,88,88,,,,,No
3D Systems,VisiJet Prowax,Wax,Wax,No,,,,,,,,,,,,,,,,,,,,No
3D Systems,VisiJet PXL,Composite,Gypsum,Yes,14.2,14.2,9450,9450,0.23,0.23,31.1,31.1,7163,7163,,,,,,,,,,No
3D Systems,VisiJet PXL,Composite,Gypsum,Yes,26.4,26.4,12560,12560,0.21,0.21,44.1,44.1,10680,10680,,,,,,,,,,No
3D Systems,VisiJet PXL,Composite,Gypsum,Yes,2.38,2.38,12855,12855,0.04,0.04,13.1,13.1,6355,6355,,,,,,,,,,No
3D Systems,VisiJet SL Black,Polymer,ABS,No,45,45,2150,2150,5,5,76,76,2350,2350,Shore D,86,86,54,54,62,62,1.15,,No
3D Systems,VisiJet SL Clear,Polymer,PC,No,52,52,2560,2560,6,6,83,83,2330,2330,Shore D,85,85,51,51,70,70,1.17,,Yes
3D Systems,VisiJet SL e-Stone,Polymer,,No,38,38,1630,1630,17,17,57,57,1550,1550,Shore D,80,80,61,61,60,60,1.19,,No
3D Systems,VisiJet SL Flex,Polymer,PP,No,38,38,1620,1620,16,16,57,57,1420,1420,Shore D,80,80,61,61,60,60,1.19,,No
3D Systems,VisiJet SL HiTemp,Polymer,,No,66,66,3390,3390,6,6,112,112,3080,3080,Shore D,86,86,65,65,62,62,1.23,,No
3D Systems,VisiJet SL HiTemp,Polymer,,Yes,66,66,3390,3390,6,6,112,112,3080,3080,Shore D,86,86,130,130,132,132,1.23,,No
3D Systems,VisiJet SL Impact,Polymer,ABS/PP,No,48,48,2626,2626,14,14,74,74,2390,2390,Shore D,80,80,47,47,65,65,1.18,,No
3D Systems,VisiJet SL Jewel,Polymer,,No,40,40,1910,1910,12,12,61,61,1824,1824,Shore D,72,72,38,38,58,58,1.18,,No
3D Systems,VisiJet SL Tough,Polymer,ABS/PP,No,41,41,1890,1890,18,18,62,62,1850,1850,Shore D,86,86,62,62,52,52,1.19,,No
3D Systems,VisiJet Stoneplast,Polymer,Acrylic,No,41,41,1850,1850,17,17,51,51,,,,,,56,56,,,,,Yes
Allied Photopolymers,KZ-1860-CL,Polymer,ABS,No,52,52,2500,2500,6,10,82,82,2000,2000,Shore D,83,83,55,55,,,,,No
Allied Photopolymers,KZ-1862-ICE,Polymer,ABS,No,52,52,2500,2500,6,10,82,82,2000,2000,Shore D,83,83,55,55,,,,,No
Allied Photopolymers,KZ-1870-WH,Polymer,ABS,No,53,53,2100,2100,5,9,64,64,2000,2000,Shore D,80,80,50,50,,,,,No
ALM,FR 106,Polymer,PA,No,39,46,,,21,38,,,1345,1345,,,,186,186,,,1.07,,No
ALM,PA 250,Polymer,PA,No,36,46,1740,2137,4,16,,,,,,,,179,179,,,1.01,,No
ALM,PA 415-GS,Composite,PA-Glass,No,40,40,2700,2700,2,3,,,3106,3106,,,,179,179,,,1.49,,No
ALM,PA 601-CF,Composite,PA-Carbon,No,66,66,2896,2896,3.6,3.6,,,3447,3447,,,,178,178,,,1.07,,No
ALM,PA 605-A,Composite,PA-Metal,No,37,43,3709,3709,3.3,3.3,,,3517,3517,,,,180,180,,,1.47,,No
ALM,PA 606-FR,Polymer,PA,No,48,48,1700,1700,24,24,,,1500,1500,,,,177,177,,,,,No
ALM,PA 614-GS,Composite,PA-Glass,No,51,51,3200,3200,9,9,,,2900,2900,,,,175,175,,,1.22,,No
ALM,PA 615-GS,Composite,PA-Glass,No,31,31,2137,4100,1.6,1.6,,,3100,3100,,,,179,179,,,1.49,,No
ALM,PA 616-GS,Composite,PA-Glass,No,31,31,4100,4100,1.45,1.45,,,3100,3100,,,,175,175,,,,,No
ALM,PA 620-MF,Composite,PA-Mineral,No,52,52,5700,5700,4,4,,,4550,4550,,,,184,184,,,1.2,,No
ALM,PA 640-GSL,Polymer,PA,No,33,49,1945,3816,3,3,,,4313,5040,,,,180,180,,,0.82,,No
ALM,PA 650,Polymer,PA,No,48,48,1700,1700,24,24,,,1500,1500,,,,177,177,,,1.02,,No
ALM,PA 802-CF,Composite,PA-Carbon,No,41,70,1453,6388,7,11,124,124,4978,4978,,,,186,186,,,1.11,,No
ALM,PA 840-GSL,Polymer,PA,No,37,48,2137,3378,3,4,,,,,,,,,,,,0.87,,No
ALM,PA 850 Black,Polymer,PA,No,42,48,1427,1475,14,51,,,,,Shore D,74,74,188,188,,,1.03,,No
ALM,PA 850-Nat,Polymer,PA,No,48,48,1517,1517,47,47,46,46,2137,2137,,,,188,188,,,1.01,,No
ALM,PA 860,Polymer,PA,No,42,48,1427,1475,14,51,,,,,Shore D,77,77,184,184,,,1.03,,No
ALM,PA D80-ST,Polymer,PA,No,39,46,,,21,38,,,1345,1345,,,,,,,,,,No
ALM,PS 200,Polymer,PS,Yes,2.84,2.84,1604,1604,,,,,,,,,,,,89,89,0.86,,No
ALM,PS-100,Polymer,PS,No,1.5,6.5,1850,1850,1.5,1.5,,,,,,,,,,105,105,0.77,,No
ALM,TPE 210-S,Polymer,PA,No,,,8,8,110,110,,,13,13,,,,,,,,1.03,,No
Arcam,Arcam ASTM F75 CoCr Alloy,Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
Arcam,Arcam ASTM F75 CoCr Alloy,Metal,Cobalt,Yes,960,960,,,20,20,,,,,,,,,,,,,,No
Arcam,Arcam Grade 2 Titanium,Metal,Titanium,Yes,570,570,,,21,21,,,,,,,,,,,,,,No
Arcam,Arcam Ti6Al4V,Metal,Titanium,Yes,1020,1020,120000,120000,14,14,,,,,,,,,,,,,,No
Arcam,Arcam Ti6Al4V ELI,Metal,Titanium,Yes,970,970,120000,120000,16,16,,,,,,,,,,,,,,No
Arevo Labs,PEEK F1,Polymer,PEEK,No,93,93,3546,3546,4.7,4.7,,,,,,,,,,,,,,No
Arevo Labs,Radel,Polymer,PPS,No,73,73,2570,2570,5.8,5.8,101,101,3973,3973,,,,,,,,,,No
Arevo Labs,Ultem,Polymer,PEI,No,97,97,2804,2804,9.5,9.5,143,143,2926,2926,,,,,,,,,,No
Arevo Labs,Wear Grade PEEK,Composite,PEEK-Composite,No,99,99,12640,12640,1.1,1.1,,,,,,,,,,,,,,No
Argyle / Bolson Materials,ABS (P400),Polymer,ABS,No,32,32,2163,2163,5,5,49,49,2165,2165,,,,96,96,,,,,No
Argyle / Bolson Materials,ABS B31 (M-TYPE),Polymer,ABS,No,36,36,2395,2395,4,4,60,60,2322,2322,,,,96,96,,,,,No
Argyle / Bolson Materials,ABS P430,Polymer,ABS,No,37,37,2320,2320,3,3,53,53,2250,2250,,,,96,96,,,,,No
Argyle / Bolson Materials,ABSmax,Polymer,ABS,No,32,32,2163,2163,5,5,49,49,2165,2165,,,,96,96,,,,,No
Asiga,Plas,Polymer,ABS/PP,No,51.1,51.1,,,6.58,6.58,86.8,86.8,1910,1910,Shore D,82,82,,,84,84,1.18,,No
Asiga,PlasCLEAR,Polymer,ABS/PP,No,52.6,52.6,,,6.88,6.88,87.3,87.3,1915,1915,Shore D,79,79,,,83,83,1.18,,No
Asiga,SuperCAST,Wax,Wax,No,,,,,,,,,,,,,,,,,,,,No
Asiga,SuperCAST v3,Wax,Wax,No,,,,,,,,,,,,,,,,,,,,No
CMET,HS-680,Polymer,Epoxy,No,80,80,2380,2380,3,3,100,100,3200,3200,Shore D,85,87,,,,,,,No
CMET,HS-680,Polymer,Epoxy,Yes,,,,,,,,,,,,,,,,,,,,No
CMET,HS-690,Polymer,Epoxy,No,65,65,2200,2200,5,6,80,80,2450,2450,Shore D,82,85,,,,,,,No
CMET,HS-696,Polymer,Epoxy,No,64,64,2300,2300,6,7,84,84,2500,2500,Shore D,83,86,,,,,,,No
CMET,TSR-510,Polymer,Silicone,No,1.7,1.7,1.1,1.1,130,130,,,,,Shore A,50,50,,,,,,,No
CMET,TSR-821,Polymer,Epoxy,No,49,49,1800,1800,13,15,70,70,2225,2225,Shore D,80,82,55,56,,,,,No
CMET,TSR-829,Polymer,Epoxy,No,44,44,1670,1670,8,8,68,68,1840,1840,Shore D,83,83,53,53,,,,,No
CMET,TSR-831,Polymer,Epoxy,No,39,39,1600,1600,14,14,62,62,1650,1650,Shore D,80,80,48,48,,,,,No
CMET,TSR-832,Polymer,Epoxy,No,51,51,2000,2000,8,8,80,80,2300,2300,Shore D,84,84,59,59,,,,,No
CMET,TSR-839,Polymer,Epoxy,No,26,26,1380,1380,19,19,47,47,1430,1430,Shore D,79,79,49,49,,,,,No
CMET,TSR-880,Polymer,Epoxy,No,53,53,1850,1850,9,9,78,78,2350,2350,Shore D,80,82,52,52,,,,,No
CMET,TSR-883,Polymer,Epoxy,No,60,60,2730,2730,5,8,98,98,2710,2710,Shore D,84,84,59,59,,,,,No
CMET,TSR-884B,Polymer,Epoxy,No,51,51,2370,2370,3,12,87,87,2260,2260,Shore D,87,87,58,58,,,,,No
CMET,TSR-884B,Polymer,Epoxy,Yes,50,50,2090,2090,4.4,4.4,79,79,2080,2080,Shore D,86,86,117,117,,,,,No
CMET,TSR-890,Polymer,Epoxy,No,43,43,2120,2120,12,12,66,66,1710,1710,Shore D,81,81,49,49,,,,,No
Concept Laser,CL 100NB (Inconel 718),Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Concept Laser,CL 110CoCr (Cobalt-chromium alloy F75),Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
Concept Laser,CL 20ES (Stainless steel 1.4404),Metal,Steel,No,570,570,200000,200000,15,15,,,,,,,,,,,,,,No
Concept Laser,CL 30AL (AlSi12),Metal,Aluminum,No,310,325,75000,75000,2,3,,,,,,,,,,,,,,No
Concept Laser,CL 31AL (AlSi10Mg),Metal,Aluminum,No,310,325,75000,75000,2,3,,,,,,,,,,,,,,No
Concept Laser,CL 40TI (TiAl6V4),Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
Concept Laser,CL 40TI ELI (TiAl6V4 ELI),Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
Concept Laser,CL 50WS (Hot-work steel 1.2709),Metal,Steel,No,1650,1650,200000,200000,2,3,,,,,,,,,,,,,,No
Concept Laser,CL 80CU (Bronze),Metal,Bronze,No,,,,,,,,,,,,,,,,,,,,No
Concept Laser,CL 91RW (Stainless hot-work steel),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Concept Laser,Remanium star CL,Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
Concept Laser,Silver alloy (930 sterling),Metal,Silver,No,,,,,,,,,,,,,,,,,,,,No
Concept Laser,Yellow gold (18 carat),Metal,Gold,No,,,,,,,,,,,,,,,,,,,,No
Cookson Gold,18K 3N Yellow Gold,Metal,Gold,Yes,,,,,,,,,,,,,,,,,,15.5,,No
Cookson Gold,18K 5N Rose Gold,Metal,Gold,Yes,,,,,,,,,,,,,,,,,,15.2,,No
CRP Technology,Windform EL,Composite,PA-Glass,No,52.4,52.4,5058,5058,3.19,3.19,86.74,86.74,4114,4114,,,,,,,,1.25,,No
CRP Technology,Windform FX,Polymer,PA,No,48.96,48.96,1357,1357,43.9,43.9,45,45,952.2,952.2,,,,,,,,1.03,,No
CRP Technology,Windform GF 2.0,Composite,PA-Glass,No,50.6,50.6,4304,4304,4.6,4.6,80.2,80.2,3430,3430,,,,,,,,1.41,,No
CRP Technology,Windform GT,Composite,PA-Glass,No,56.21,56.21,3289.8,3289.8,14.82,14.82,87.9,87.9,3227,3227,,,,,,,,1.19,,No
CRP Technology,Windform LX 2.0,Polymer,PA,No,59.9,59.9,6248,6248,2.3,2.3,92.2,92.2,4860,4860,,,,,,,,1.31,,No
CRP Technology,Windform PS,Polymer,PS,No,,,,,,,,,,,,,,,,86.5,88.5,,,No
CRP Technology,Windform SP,Composite,PA-Carbon,No,76.1,76.1,6219.6,6219.6,11.38,11.38,120.08,120.08,4647.4,4647.4,,,,,,,,1.11,,No
CRP Technology,Windform XT 2.0,Composite,PA-Carbon,No,83.84,83.84,8928.2,8928.2,3.8,3.8,133,133,7338.2,7338.2,,,,,,,,1.1,,No
Diamond Plastics,Laser HDPE HX 17,Polymer,,No,21,21,2000,2000,5.5,5.5,,,,,,,,,,,,0.97,,No
Diamond Plastics,Laser PP CP 22,Polymer,,No,25,25,2500,2500,8,8,,,,,,,,,,,,0.92,,No
D-MEC,SCR11120,Polymer,Epoxy,No,47,47,2650,2650,20,20,63,63,2040,2040,Shore D,81,81,46,46,43,43,,,No
D-MEC,SCR701,Polymer,Epoxy,No,75,75,3300,3300,6,6,104,104,3100,3100,Shore D,87,87,53,53,82,82,,,No
D-MEC,SCR710,Polymer,Epoxy,No,66,66,2700,2700,10,10,85,85,2500,2500,Shore D,81,81,49,49,78,78,,,No
D-MEC,SCR735,Polymer,Epoxy,No,45,45,2510,2510,6.8,6.8,83,83,2530,2530,,,,48,48,90,90,,,No
D-MEC,SCR735,Polymer,Epoxy,Yes,67,67,2720,2720,6,6,97,97,2570,2570,,,,85,85,110,110,,,No
D-MEC,SCR740,Polymer,Epoxy,No,62,62,3000,3000,3,3,110,110,2800,2800,,,,100,100,135,135,,,No
D-MEC,SCR751,Polymer,Epoxy,No,80,80,3400,3400,5,5,115,115,3300,3300,Shore D,88,88,56,56,108,108,,,No
D-MEC,SCR802,Polymer,Epoxy,No,85,85,9200,9200,2,2,120,120,8900,8900,Shore D,92,92,250,250,133,133,,,No
D-MEC,SCR9100,Polymer,Epoxy,No,28,32,1100,1400,14,17,42,62,1200,1500,,,,60,65,,,,,No
